Samples	Genotype	Zadok	Operator	Qubit	Biomass	Purified.DNA
EM1	F3.31.65	33	EM	19.6	0.363	80.8
EM2	Barke	33	C	33.2	0.552	67.4
EM3	SL52	33	EC	10.1	0.402	73.0
EM4	F3.31.65	33	C	18.1	0.339	52.0
EM5	Bulk	0	EM	14.0	0.000	90.0
EM6	SL52	33	EC	30.0	0.461	99.2
EM7	F3.41.78.3	34	C	24.2	0.454	114.0
EM8	F3.31.65	34	EM	9.5	0.147	3.6
EM9	SL52	34	EC	25.5	0.368	72.4
EM10	F3.41.78.3	33	EM	24.3	0.551	57.0
EM11	SL17	33	C	24.8	0.292	87.6
EM12	F3.41.78.3	33	C	17.1	0.514	102.0
EM13	SL17	34	EM	8.5	0.428	77.0
EM14	Bulk	0	C	7.9	0.000	76.6
EM15	F3.41.78.3	33	EC	23.8	0.463	87.8
EM16	SL52	35	C	14.8	0.346	66.0
EM17	F3.41.78.3	33	EM	22.8	0.511	61.2
EM18	Bulk	0	EC	10.0	0.000	75.2
EM19	Bulk	0	C	12.1	0.000	1.9
EM20	F3.31.65	33	EM	14.3	0.123	69.2
EM21	SL17	33	C	16.4	0.433	121.2
EM22	F3.41.78.3	33	EC	24.0	0.458	91.6
EM23	Bulk	0	EM	13.4	0.000	97.2
EM24	SL17	34	C	24.8	0.481	133.2
EM25	SL17	34	EC	25.5	0.454	103.2
EM26	SL17	33	C	19.7	0.474	118.0
EM27	Barke	33	EM	25.5	0.396	150.8
EM28	SL52	34	EC	19.7	0.444	80.8
EM29	Barke	33	EC	16.8	0.196	106.8
EM30	Bulk	0	C	10.0	0.000	108.0
EM31	Barke	34	C	20.2	0.311	115.6
EM32	Barke	33	EM	15.5	0.452	116.0
EM33	SL52	33	EC	20.4	0.512	67.0
EM34	Barke	33	EM	22.9	0.446	52.2
